BIDS_ID,Proposal_Result,Proposal_Category,Ownership,Pursuit_Type,Customer_Classification,Vertical_Name,Deal_Category,H1_Service,H2_Service,H3_Service,DoD_Service_Line,BigData_Service_Line,Analytics_Service_Line,CBC_Service_Line,EDM_Service_Line,BISquad_Line,CPM_Service_Line,AVM_Service_Line,Is_Tech_ETL,Is_Tech_BI,Is_Tech_Visualization,Is_Tech_BigData,Is_Oracle_CoE,Is_MSBI_CoE,Is_Infa_CoE,Is_Microstrategy_CoE,Is_IBM_CoE,Is_In_Memory_CoE,Is_Teradata_CoE,Billing_Type,Overall_TCV,AIM_TCV,Profitability_Percent,Confidence_Percent,Duration_of_RFP_Prep_In_Days,Win_Theme_Comp_Pricing,Win_Theme_Delivery_Model,Win_Theme_Domain_Expertise,Win_Theme_Tech_Solutions,Win_Theme_Account_Relationship,Win_Theme_Others,Is_Value_Assets,Is_Legal_Review_Required,Is_GDO_Review_Required,Is_AIM_Deal_Review_Required,Is_Comp_Infy,Is_Comp_Accenture,Is_Comp_TCS,Is_Comp_Wipro,Is_Comp_Capgemini,Is_Comp_IBM,Is_Comp_Others,No_Comp,Geo,Sub_Geo,Solution_Category,Initiation_Date,Announced_Date
RFI000000000352,Win,0,0,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,UK,United Kingdom,Testing,3/27/2015,5/15/2015
PRO000000000357,Win,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.4,0,45,10,11,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,CE,Nordics,Maintenance,1/9/2015,2/19/2015
RFP000000000396,Win,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.23,0,0,30,8,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,US,United States of America,Development,3/5/2015,5/5/2015
RFP000000000431,Win,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,48,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,US,United States of America,Maintenance,1/27/2015,3/20/2015
RFP000000000433,Win,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,43,75,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,MDM,1/29/2015,4/24/2015
RFP000000000440,Win,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.15,0,45,50,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,MDM,1/7/2015,4/3/2015
PRO000000000508,Win,0,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0.09,0,41,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,Development,5/12/2015,6/5/2015
RFP000000000510,Win,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.067,0,43,75,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,US,United States of America,MDM,5/7/2015,6/9/2015
PRO000000000511,Win,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.026,0,40,10,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,UK,United Kingdom,Development,5/11/2015,6/11/2015
RFP000000000565,Win,0,0,1,1,3,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1.2,0,40,25,29,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,US,United States of America,Maintenance,5/14/2015,10/7/2015
PRO000000000566,Win,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0.5,0,0,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CE,Rest of Europe,Development,5/8/2015,5/21/2015
PRO000000000580,Win,0,1,0,1,2,2,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,2,0,37,10,10,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,Big Data,5/18/2015,11/27/2015
PRO000000000600,Win,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.232,0,41,20,6,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,US,United States of America,Development,5/15/2015,12/28/2015
RFP000000000655,Win,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.1,0,40,10,10,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,CE,Germany,Development,5/29/2015,7/3/2015
PRO000000000683,Win,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.223,0,47,25,13,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,US,United States of America,Dev & Maint,6/10/2015,7/8/2015
RFP000000000702,Win,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0.145,0,37,50,8,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,US,United States of America,Development,6/15/2015,7/9/2015
PRO000000000723,Win,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0.433,0,27,25,161,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,APAC,ASEAN,Development,6/15/2015,12/14/2015
RFP000000000759,Win,0,1,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,43,100,16,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,US,United States of America,MDM,11/4/2015,12/23/2015
PRO000000000774,Win,0,1,0,1,2,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.078,0,45,0,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,UK,United Kingdom,Big Data,6/26/2015,7/24/2015
RFI000000000845,Win,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,LATAM,Mexico,Maintenance,7/6/2015,12/1/2015
PRO000000000908,Win,0,1,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,48,50,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,UK,United Kingdom,DQ,6/15/2015,8/14/2015
RFP000000000960,Win,0,1,1,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,28,30,18,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,APAC,India,Dev & Maint,5/4/2015,6/9/2015
RFI000000000964,Win,0,1,2,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,25,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,ME,UAE,Strategy,7/21/2015,9/21/2015
RFP000000000990,Win,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.22,0,40,50,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,APAC,ASEAN,Development,7/23/2015,12/7/2015
RFP000000000997,Win,0,1,1,0,2,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,10,0,30,10,31,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,CE,Germany,Maintenance,7/24/2015,4/8/2016
PRO0000000001041,Win,0,1,0,1,3,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,40,10,83,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,US,United States of America,Big Data,8/4/2015,2/24/2016
RFP0000000001050,Win,0,0,1,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5,0,44,100,21,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,US,United States of America,MDM,8/3/2015,12/10/2015
RFP0000000001059,Win,0,1,1,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.7,0,40,60,14,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,US,United States of America,MDM,7/31/2015,10/1/2015
RFP0000000001060,Win,0,1,1,0,2,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1.8,1.9,35,25,23,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,ME,Saudi Arabia,Development,7/31/2015,3/14/2016
RFP0000000001092,Win,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,36,25,20,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,ME,UAE,Planning,8/11/2015,9/21/2015
RFI0000000001123,Win,0,1,2,0,2,2,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.3,0,1,1,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,Analytics,8/24/2015,9/28/2015
RFP0000000001162,Win,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1.26,0,31,30,18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,APAC,Singapore,Dev & Maint,8/24/2015,9/30/2015
RFP0000000001178,Win,0,1,1,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8,0,42,80,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,US,Canada,MDM,8/26/2015,10/27/2015
RFP0000000001186,Win,0,1,1,1,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.078,0,42,30,26,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,APAC,ASEAN,MDM,8/19/2015,11/6/2015
PRO0000000001187,Win,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,43,20,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,Strategy,8/25/2015,11/16/2015
RFP0000000001202,Win,0,0,1,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1.5,0,38,30,38,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,CE,Benelux,Maintenance,8/25/2015,12/31/2015
PRO0000000001203,Win,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.228,0,40,50,12,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,Maintenance,9/16/2015,12/7/2015
RFI0000000001208,Win,1,1,2,1,2,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,20,38,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,Big Data,9/11/2015,11/25/2015
RFP0000000001209,Win,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.3,0,0,20,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,Maintenance,9/10/2015,12/30/2015
PRO0000000001213,Win,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.68,0,45,50,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,Development,9/22/2015,11/12/2015
RFP0000000001272,Win,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.92,0,37,25,11,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,Dev & Maint,10/5/2015,1/1/2016
RFP0000000001308,Win,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,41.6,4.5,41,25,83,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,US,United States of America,Dev & Maint,10/9/2015,4/20/2016
PRO0000000001346,Win,0,1,0,1,2,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.2,0,45,100,18,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,UK,United Kingdom,Big Data,11/2/2015,12/4/2015
RFI0000000001424,Win,0,1,2,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,1,25,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,UK,United Kingdom,Big Data,11/23/2015,2/26/2016
PRO0000000001437,Win,0,1,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0.063,0,40,25,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CE,Rest of Europe,Assessment,11/17/2015,11/26/2015
RFP0000000001465,Win,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,Maintenance,11/23/2015,2/15/2016
RFI0000000001477,Win,0,1,2,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,40,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,Assessment,12/11/2015,12/22/2015
RFP0000000001491,Win,0,1,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.15,0,43,25,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,UK,United Kingdom,Development,12/11/2015,1/21/2016
RFP0000000001496,Win,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,3,200,4.82,40,10,34,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,US,United States of America,Dev & Maint,12/11/2015,5/13/2016
PRO0000000001506,Win,0,1,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.058,0,45,25,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,Assessment,12/14/2015,12/24/2015
RFP0000000001530,Win,0,1,1,0,2,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.3,2.7,41,25,32,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,US,United States of America,Big Data,12/24/2015,5/13/2016
PRO0000000001544,Win,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0.2,0.2,40,25,9,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,Dev & Maint,1/4/2016,2/10/2016
RFI0000000001552,Win,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.08,0.08,35,25,28,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,US,United States of America,Assessment,12/28/2015,5/20/2016
RFP0000000001611,Win,0,1,1,1,2,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.4,2.4,40,25,17,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,US,United States of America,Big Data,1/22/2016,3/6/2016
RFP0000000001625,Win,1,1,1,0,2,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2,5.2,5.2,32,10,25,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,CE,Nordics,Dev & Maint,1/25/2016,5/12/2016
PRO0000000001671,Win,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0.075,0.075,40,50,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,UK,United Kingdom,Dev & Maint,2/12/2016,3/1/2016
RFP0000000001687,Win,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.1,40,50,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,Dev & Maint,2/17/2016,5/3/2016
RFP0000000001730,Win,0,1,1,1,2,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.117,0.117,0,25,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,UK,United Kingdom,Big Data,1/18/2016,2/29/2016
RFP0000000001754,Win,0,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,1.08,1,50,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,US,United States of America,Assessment,3/8/2016,5/13/2016
PRO0000000001814,Win,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.053,0.053,40,50,9,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,US,United States of America,Analytics,3/22/2016,5/18/2016
